Long,Lat,FID,EVENTSTA,eventend,SIMULATI,SIMULAT1,UNIQUEAS,assetid,NETWORKM,ASSETNAM,TREATMEN,ESTIMATE,OSISERVI,STRUCTUR,INTERIOR,SERVICES,OSI,SUBSTRUC,SUPESTRU,ROOFCOND,FITTINGS,FLOORCON,HYDRAULI,MECHANIC,FIRECOND,ELECTRIC,SECURITY,SITESERV,EXTERNAL
116.057742205312,-31.9566446341615,"68","1577836800000","1609372800000","0","2020",BD_5027-00,BD_5027-00,"1227596",BD_5027-00 - Gooseberry Hill Hall (CHC) - Gooseberry Hill Hall, ,0,0,3,3,3,3,4,2,2,3,3,4,2,2,4,2,4,2
116.0546803143,-31.9701903701392,"69","1577836800000","1609372800000","0","2020",BD_5096-00,BD_5096-00,"120582",BD_5096-00 - Stirk Cottage - (Stirk Cottage), ,0,0,5,6,6,6,5,5,6,6,6,5,6,5,6,6,6,6
116.062033990162,-31.9790326072489,"70","1577836800000","1609372800000","0","2020",BD_5056-03,BD_5056-03,"412112",BD_5056-03 - Kalamunda Wet N Wild - Swimming Pool Changerooms & Toilets, ,0,0,4,5,5,5,5,4,4,5,5,5,4,5,5,4,5,5
116.008468768919,-31.9433418160932,"71","1577836800000","1609372800000","0","2020",BD_5083-00,BD_5083-00,"63250",BD_5083-00 - Rangeview Tennis Club - (Clubroom), ,0,0,4,3,3,3,3,4,4,2,3,3,3,2,3,2,3,3
115.993362963621,-31.9975559846002,"72","1577836800000","1609372800000","0","2020",BD_5101-01,BD_5101-01,"1057001",BD_5101-01 - Vintage Car Club - Workshop, ,0,0,2,2,2,2,1,2,2,3,1,3,2,1,3,1,2,1
116.057167734374,-31.9740492957426,"73","1577836800000","1609372800000","0","2020",BD_5117-00,BD_5117-00,"57097",BD_5117-00 - Mens Shed - (Old Vehicle Inspection Station), ,0,0,3,3,3,3,3,3,3,2,4,2,3,4,2,2,2,4
116.059185375768,-31.9700318874319,"74","1577836800000","1609372800000","0","2020",BD_5037-01,BD_5037-01,"61507",BD_5037-01 - History Village - 1903-1927 Railway Station, ,0,0,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6
116.057621836593,-31.9744215471564,"75","1577836800000","1609372800000","0","2020",BD_5048-00,BD_5048-00,"117294",BD_5048-00 - Kalamunda CHC - Kalamunda Child Health Centre, ,0,0,3,3,3,3,3,3,2,3,2,3,3,2,2,3,2,2
116.061300853736,-31.9773692223719,"76","1577836800000","1609372800000","0","2020",BD_5001-05,BD_5001-05,"109702",BD_5001-05 - Administration Buildings - Community Bus Garage, ,0,0,4,4,4,4,4,4,5,3,4,5,5,3,3,3,4,5
116.029167107531,-31.9490288093321,"77","1577836800000","1609372800000","0","2020",BD_5067-00,BD_5067-00,"430987",BD_5067-00 - Maida Vale Preschool - (Maida Vale Pre-school), ,0,0,3,3,3,3,3,2,3,2,4,4,4,2,2,2,3,4
115.992743620947,-31.997365495177,"78","1577836800000","1609372800000","0","2020",BD_5101-00,BD_5101-00,"1495734",BD_5101-00 - Vintage Car Club - (Vintage Car Club), ,0,0,3,3,4,3,3,4,3,2,4,4,3,3,4,3,4,4
116.016897010889,-31.9873504983536,"79","1577836800000","1609372800000","0","2020",BD_5003-00,BD_5003-00,"943317",BD_5003-00 - Anderson Road Community Centre (Primary School) - Community Centre, ,0,0,5,4,4,4,4,5,5,3,5,4,4,5,3,5,4,4
116.08491685777,-32.018108496953,"80","1577836800000","1609372800000","0","2020",BD_5011-03,BD_5011-03,"14006",BD_5011-03 - Carmel School (SCOUTS) - Store Shed, ,0,0,2,3,1,2,2,2,3,3,3,1,1,1,1,3,1,2
116.045748412337,-32.0094729762807,"81","1577836800000","1609372800000","0","2020",BD_5059-00,BD_5059-00,"548989",BD_5059-00 - Lesmurdie Guide Hall - (Lesmurdie Girl Guides Hall & Toilet Block), ,0,0,4,3,4,4,5,3,5,3,3,3,4,4,4,4,4,3
116.059375551195,-31.9699586113331,"82","1577836800000","1609372800000","0","2020",BD_5037-02,BD_5037-02,"377145",BD_5037-02 - History Village - 1921-1972 Post Office, ,0,0,5,6,6,6,5,6,5,6,6,5,6,5,6,6,6,6
116.009654340892,-32.0011745452723,"83","1577836800000","1609372800000","0","2020",BD_5065-01,BD_5065-01,"385739",BD_5065-01 - Wattle Grove TAFE - Community Hall, ,0,0,3,4,3,3,2,4,2,4,4,2,4,2,2,2,3,4
116.005228047159,-31.9989383175602,"84","1577836800000","1609372800000","0","2020",BD_5030-04,BD_5030-04,"279804",BD_5030-04 - Hartfield Country Club - Pro Shop, ,0,0,3,3,3,3,3,3,2,3,2,2,2,3,3,2,4,3
116.061046367268,-31.9765951996406,"85","1577836800000","1609372800000","0","2020",BD_5057-01,BD_5057-01,"203996",BD_5057-01 - Kalamunda Tennis Club - Toilets, ,0,0,3,4,4,3,4,4,2,3,4,3,4,3,4,4,3,3
116.085254107173,-32.0182890388166,"86","1577836800000","1609372800000","0","2020",BD_5011-02,BD_5011-02,"13215",BD_5011-02 - Carmel School (SCOUTS) - Shelter Shed, ,0,0,6,5,5,6,6,6,6,5,5,6,5,5,5,5,5,6
116.057903276345,-31.9719743508515,"87","1577836800000","1609372800000","0","2020",BD_5099-00,BD_5099-00,"272450",BD_5099-00 - Town Square Hall - (Town Square Community Hall), ,0,0,2,3,1,2,3,1,2,2,3,1,1,1,1,1,2,3
116.075654885797,-31.9996619745823,"88","1577836800000","1609372800000","0","2020",BD_5104-01,BD_5104-01,"98251",BD_5104-01 - Walliston Pony Club - Walliston Riding & Pony Club Stables, ,0,0,2,2,2,2,2,3,2,1,2,3,3,2,1,3,2,3
116.016824832927,-31.9861997396893,"89","1577836800000","1609372800000","0","2020",BD_5022-00,BD_5022-00,"517586",BD_5022-00 - Forrestfield Hall - Forrestfield Hall, ,0,0,5,5,5,5,5,4,6,4,6,4,4,4,6,4,5,4
115.997255223282,-31.9938785837409,"90","1577836800000","1609372800000","0","2020",BD_5113-00,BD_5113-00,"1410832",BD_5113-00 - Forrestfield United Soccer Club - Pavilion - Forrestfield United Soccer Club, ,0,0,2,3,3,3,2,3,2,4,2,4,2,4,2,4,3,4
115.999555430807,-31.9946297561384,"91","1577836800000","1609372800000","0","2020",BD_5050-00,BD_5050-00,"752118",BD_5050-00 - Kalamunda Hockey Club - Kalamunda & Districts Hockey Club, ,0,0,3,3,3,3,2,3,3,2,3,2,2,2,4,2,3,4
116.06118256048,-31.9780434715413,"92","1577836800000","1609372800000","0","2020",BD_5001-00,BD_5001-00,"1780607",BD_5001-00 - Administration Buildings - (Office), ,0,0,2,1,2,2,1,2,2,1,1,3,1,1,3,2,3,1
116.054868463323,-31.9674214338914,"93","1577836800000","1609372800000","0","2020",BD_5076-00,BD_5076-00,"320870",BD_5076-00 - Overflow Cottage - (Overflow Cottage), ,0,0,5,6,6,5,5,5,5,6,6,5,6,6,5,6,6,6
